id,DQD,DQB,DQL,GEME,AH,MTH,FH,RT,FU,HO,GEMN,HAUS,LABE,GRUF,VOLU
DENILD800000jgSt,1000,1300,1000,03456018,30.827,34.408,35.185,2100,51009_1610,4.358,Quendorf,NA,NA,24.8818359375,89.10820577964036
DENILD800000a21J,1000,1300,1000,03456018,32.239,37.553,41.957,3100,31001_1000,9.718,Quendorf,127,Nordhorner Straße,144.69140625,960.3330891237938
DENILD800000lva5,1000,1300,1000,03456010,31.284,38.034,38.034,1000,51003_1201,6.749,Isterberg,NA,NA,4.5,30.366798750236246
DENILD800000gYMM,1000,1300,1000,03456010,31.226,49.316,50.789,5000,31001_2720,19.563,Isterberg,NA,NA,49.3837890625,924.8600058756227
DENILD800000gYQ9,1000,1300,1000,03456010,32.627,34.564,34.9,5000,31001_2000,2.273,Isterberg,NA,NA,12.8798828125,27.023682823805743
DENILD800000a22w,1000,1300,1000,03456018,30.926,34.485,40.189,3100,31001_1000,9.263,Quendorf,10,Alter Postdamm,183.41796875,1176.4233279739735
DENILD800000orpU,1000,1300,1000,03456018,31.382,35.455,37.507,3100,31001_2100,6.125,Quendorf,NA,NA,542.48828125,2641.42966324109
DENILD800000lv9h,1000,1300,1000,03456010,31.182,36.557,38.916,3100,31001_2720,7.734,Isterberg,NA,NA,269.4501953125,1766.2100360789213
DENILD800000a29M,1000,1300,1000,03456018,31.637,34.782,35.841,3100,31001_2720,4.204,Quendorf,NA,NA,18.4599609375,384.1518499895921
DENILD800000gYMs,1000,1300,1000,03456010,31.389,33.876,33.876,1000,31001_2000,2.487,Isterberg,NA,NA,8.4716796875,21.07220551127235
DENILD800000gYQl,1000,1300,1000,03456010,31.167,35.004,40.653,3100,31001_2720,9.486,Isterberg,NA,NA,190.1572265625,1267.9711717693076
DENILD800000hF6R,1000,1300,1000,03456010,32.304,37.162,37.162,1000,51009_1610,4.858,Isterberg,NA,NA,22.630859375,809.2433372961376
DENILD800000a26P,1000,1300,1000,03456018,31.876,34.781,35.477,5000,31001_2720,3.602,Quendorf,NA,NA,18.248046875,314.3624779148192
DENILD800000a25K,1000,1300,1000,03456018,31.647,36.539,40.193,3100,31001_1000,8.546,Quendorf,1,Brunnenweg,37.1943359375,2234.022481577859
DENILD800000gYGP,1000,1300,1000,03456010,33.34,38.364,43.203,3100,31001_2000,9.864,Isterberg,NA,NA,10.8603515625,1103.723312776267
DENILD800000gYJI,1000,1300,1000,03456010,32.278,36.834,41.894,3300,31001_1000,9.615,Isterberg,1,Alte Schüttorfer Straße,0.310546875,1876.9318231608727
DENILD800000jgRD,1000,1300,1000,03456018,32.293,47.287,47.841,3100,31001_2000,15.548,Quendorf,NA,NA,7.421875,113.34690568518445
DENILD800000jeDf,1000,1300,1000,03456018,31.691,34.548,36.883,3100,51009_1610,5.192,Quendorf,NA,NA,34.8896484375,140.42580721933638
DENILD800000orpX,1000,1300,1000,03456018,31.531,34.387,34.387,1000,51009_1610,2.857,Quendorf,NA,NA,11.6953125,33.40341899825618
DENILD800000gYGF,1000,1300,1000,03456010,31.966,48.35,49.624,3100,31001_2000,17.658,Isterberg,NA,NA,6.0986328125,863.3719700027651
DENILD800000gYM9,1000,1300,1000,03456010,31.599,35.095,35.095,1000,31001_2720,3.496,Isterberg,NA,NA,208.59375,729.2451676429681
DENILD800000p6Up,1000,1300,1000,03456018,33.583,41.894,41.894,1000,51003_1201,8.311,Quendorf,NA,NA,4.125,34.32104742518661
DENILD800000hF6Y,1000,1300,1000,03456010,32.377,37.881,37.881,1000,51003_1201,5.504,Isterberg,NA,NA,4.890625,26.887529856467083
DENILD800000ryGK,1000,1300,1000,03456010,33.204,40.332,40.332,1000,31001_2720,7.127,Isterberg,NA,NA,167.439453125,1193.508214244078
DENILD800000jez7,1000,1300,1000,03456010,32.785,36.998,40.862,3100,51009_1610,8.078,Isterberg,NA,NA,12.029296875,73.92414800452683
DENILD800000a27o,1000,1300,1000,03456018,31.783,36.587,39.581,3100,31001_2720,7.798,Quendorf,NA,NA,62.396484375,820.4584971013869
DENILD800000gYIg,1000,1300,1000,03456010,32.488,38.42,41.619,3100,31001_1000,9.132,Isterberg,3,Am Isterloh,12.0439453125,1107.2309514582398
DENILD800000gYKY,1000,1300,1000,03456010,32.136,36.228,40.486,3100,31001_2000,8.35,Isterberg,NA,NA,180.099609375,1120.5123597856148
DENILD800000jgRI,1000,1300,1000,03456018,32.033,36.872,37.461,2100,51009_1610,5.428,Quendorf,NA,NA,186.244140625,901.1024629313428
DENILD800000a28H,1000,1300,1000,03456018,30.723,50.965,50.965,1000,31001_2720,20.242,Quendorf,NA,NA,75.291015625,1616.0667301666135
DENILD800000gYOO,1000,1300,1000,03456010,31.706,36.084,41.969,3100,31001_2720,10.264,Isterberg,NA,NA,49.654296875,3697.6572703919605
DENILD800000a23e,1000,1300,1000,03456018,30.567,34.841,38.549,3100,31001_2720,7.982,Quendorf,NA,NA,197.3125,1209.18028022723
DENILD800000a27Z,1000,1300,1000,03456018,31.346,37.7,39.908,3100,31001_1000,8.563,Quendorf,146,Nordhorner Straße,17.6953125,1732.634648266839
DENILD800000a22x,1000,1300,1000,03456018,32.051,35.159,37.333,3100,31001_2720,5.283,Quendorf,NA,NA,41.513671875,1383.963840952882
DENILD800000gYKg,1000,1300,1000,03456010,31.74,55.365,56.525,5000,31001_2000,24.786,Isterberg,NA,NA,75.12890625,1808.9808007549618
DENILD800000a22C,1000,1300,1000,03456018,32.06,41.833,44.959,3100,31001_2000,12.899,Quendorf,NA,NA,30.001953125,340.1588504294736
